,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
59,Alimara Barcelona Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d228464-Reviews-Alimara_Barcelona_Hotel-Barcelona_Catalonia.html,Barcelona,1034 ,,2022/01/01,2022/01/05,$129,Priceline,13,
60,Umma Barcelona Bed & Breakfast Boutique,https://www.tripadvisor.com/Hotel_Review-g187497-d4112352-Reviews-Umma_Barcelona_Bed_Breakfast_Boutique-Barcelona_Catalonia.html,Barcelona,218 ,,2022/01/01,2022/01/05,$143,Booking.com,14,
61,Aparthotel Mariano Cubi,https://www.tripadvisor.com/Hotel_Review-g187497-d231505-Reviews-Aparthotel_Mariano_Cubi-Barcelona_Catalonia.html,Barcelona,671 ,,2022/01/01,2022/01/05,$144,Booking.com,13,
62,Hotel Aranea,https://www.tripadvisor.com/Hotel_Review-g187497-d282607-Reviews-Hotel_Aranea-Barcelona_Catalonia.html,Barcelona,1169 ,,2022/01/01,2022/01/05,$92,Booking.com,11,
63,Ciutat de Sant Adria Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d606469-Reviews-Ciutat_de_Sant_Adria_Hotel-Barcelona_Catalonia.html,Barcelona,243 ,,2022/01/01,2022/01/05,$65,Expedia.com,12,
64,Hotel Omnium,https://www.tripadvisor.com/Hotel_Review-g187497-d8658323-Reviews-Hotel_Omnium-Barcelona_Catalonia.html,Barcelona,175 ,,2022/01/01,2022/01/05,$160,Booking.com,12,
65,Yurbban Trafalgar Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d7138272-Reviews-Yurbban_Trafalgar_Hotel-Barcelona_Catalonia.html,Barcelona,1556 ,,2022/01/01,2022/01/05,$185,Tripadvisor,17,
66,H10 Catalunya Plaza,https://www.tripadvisor.com/Hotel_Review-g187497-d234397-Reviews-H10_Catalunya_Plaza-Barcelona_Catalonia.html,Barcelona,1025 ,,2022/01/01,2022/01/05,$180,Tripadvisor,18,
67,Iberostar Selection Paseo de Gracia,https://www.tripadvisor.com/Hotel_Review-g187497-d12715685-Reviews-Iberostar_Selection_Paseo_de_Gracia-Barcelona_Catalonia.html,Barcelona,393 ,,2022/01/01,2022/01/05,$232,Tripadvisor,15,
68,Villa Emilia,https://www.tripadvisor.com/Hotel_Review-g187497-d623893-Reviews-Villa_Emilia-Barcelona_Catalonia.html,Barcelona,2579 ,,2022/01/01,2022/01/05,$167,Tripadvisor,16,
69,Novotel Barcelona City,https://www.tripadvisor.com/Hotel_Review-g187497-d1532202-Reviews-Novotel_Barcelona_City-Barcelona_Catalonia.html,Barcelona,4729 ,,2022/01/01,2022/01/05,$128,Tripadvisor,18,
70,Apartments Sixtyfour,https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html,Barcelona,738 ,,2022/01/01,2022/01/05,$403,Booking.com,13,
71,"Mandarin Oriental, Barcelona",https://www.tripadvisor.com/Hotel_Review-g187497-d1456413-Reviews-Mandarin_Oriental_Barcelona-Barcelona_Catalonia.html,Barcelona,1826 ,,2022/01/01,2022/01/05,$651,Tripadvisor,18,
72,Catalonia Avinyo,https://www.tripadvisor.com/Hotel_Review-g187497-d660350-Reviews-Catalonia_Avinyo-Barcelona_Catalonia.html,Barcelona,1455 ,,2022/01/01,2022/01/05,$175,Tripadvisor,16,
73,Room Mate Pau,https://www.tripadvisor.com/Hotel_Review-g187497-d3333926-Reviews-Room_Mate_Pau-Barcelona_Catalonia.html,Barcelona,1542 ,,2022/01/01,2022/01/05,$157,Tripadvisor,15,
74,Hotel Barcelona Catedral,https://www.tripadvisor.com/Hotel_Review-g187497-d610494-Reviews-Hotel_Barcelona_Catedral-Barcelona_Catalonia.html,Barcelona,2519 ,,2022/01/01,2022/01/05,$205,Tripadvisor,17,
75,NH Barcelona Stadium,https://www.tripadvisor.com/Hotel_Review-g187497-d206925-Reviews-NH_Barcelona_Stadium-Barcelona_Catalonia.html,Barcelona,929 ,,2022/01/01,2022/01/05,$101,Tripadvisor,16,
76,BCN Montjuic Aparthotel,https://www.tripadvisor.com/Hotel_Review-g187497-d639129-Reviews-BCN_Montjuic_Aparthotel-Barcelona_Catalonia.html,Barcelona,484 ,,2022/01/01,2022/01/05,$96,Booking.com,12,
77,Hotel America Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d228653-Reviews-Hotel_America_Barcelona-Barcelona_Catalonia.html,Barcelona,376 ,,2022/01/01,2022/01/05,$142,Tripadvisor,18,
78,Hotel Miramar Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d626303-Reviews-Hotel_Miramar_Barcelona-Barcelona_Catalonia.html,Barcelona,1335 ,,2022/01/01,2022/01/05,$213,Tripadvisor,18,
79,Hotel Ciutat de Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d601439-Reviews-Hotel_Ciutat_de_Barcelona-Barcelona_Catalonia.html,Barcelona,1429 ,,2022/01/01,2022/01/05,$170,Tripadvisor,16,
80,U232 Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d234572-Reviews-U232_Hotel-Barcelona_Catalonia.html,Barcelona,3790 ,,2022/01/01,2022/01/05,$95,Tripadvisor,15,
81,Grums Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187497-d1989060-Reviews-Grums_Hotel_Spa-Barcelona_Catalonia.html,Barcelona,1370 ,,2022/01/01,2022/01/05,$154,Tripadvisor,17,
82,NH Barcelona Diagonal Center,https://www.tripadvisor.com/Hotel_Review-g187497-d2327171-Reviews-NH_Barcelona_Diagonal_Center-Barcelona_Catalonia.html,Barcelona,1044 ,,2022/01/01,2022/01/05,$98,Tripadvisor,16,
83,H10 Port Vell,https://www.tripadvisor.com/Hotel_Review-g187497-d4702800-Reviews-H10_Port_Vell-Barcelona_Catalonia.html,Barcelona,1273 ,,2022/01/01,2022/01/05,$205,Tripadvisor,16,
84,Vilana Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d237154-Reviews-Vilana_Hotel-Barcelona_Catalonia.html,Barcelona,155 ,,2022/01/01,2022/01/05,$145,Tripadvisor,14,
85,Monument Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d9587943-Reviews-Monument_Hotel-Barcelona_Catalonia.html,Barcelona,484 ,,2022/01/01,2022/01/05,,Expedia.com,17,
86,Axel Hotel Barcelona & Urban Spa,https://www.tripadvisor.com/Hotel_Review-g187497-d305582-Reviews-Axel_Hotel_Barcelona_Urban_Spa-Barcelona_Catalonia.html,Barcelona,3360 ,,2022/01/01,2022/01/05,,Hotels.com,17,
87,Hotel Royal Passeig de Gracia,https://www.tripadvisor.com/Hotel_Review-g187497-d4463171-Reviews-Hotel_Royal_Passeig_de_Gracia-Barcelona_Catalonia.html,Barcelona,2225 ,,2022/01/01,2022/01/05,,Hotels.com,15,
88,Hotel Catalonia Sagrada Familia,https://www.tripadvisor.com/Hotel_Review-g187497-d228544-Reviews-Hotel_Catalonia_Sagrada_Familia-Barcelona_Catalonia.html,Barcelona,1731 ,,2022/01/01,2022/01/05,,Hotels.com,18,
89,Catalonia Magdalenes,https://www.tripadvisor.com/Hotel_Review-g187497-d10062222-Reviews-Catalonia_Magdalenes-Barcelona_Catalonia.html,Barcelona,963 ,,2022/01/01,2022/01/05,,Expedia.com,15,
90,Continental Palacete,https://www.tripadvisor.com/Hotel_Review-g187497-d274118-Reviews-Continental_Palacete-Barcelona_Catalonia.html,Barcelona,599 ,,2022/01/01,2022/01/05,,Hotels.com,14,
91,Rodamon Barcelona Hostel,https://www.tripadvisor.com/Hotel_Review-g187497-d4558923-Reviews-Rodamon_Barcelona_Hostel-Barcelona_Catalonia.html,Barcelona,444 ,,2022/01/01,2022/01/05,,Hotels.com,13,
92,Park Hotel Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d234578-Reviews-Park_Hotel_Barcelona-Barcelona_Catalonia.html,Barcelona,830 ,,2022/01/01,2022/01/05,,Hotels.com,13,
93,Abba Sants Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d228626-Reviews-Abba_Sants_Hotel-Barcelona_Catalonia.html,Barcelona,769 ,,2022/01/01,2022/01/05,,Hotels.com,15,
94,Barcelona Century Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d234566-Reviews-Barcelona_Century_Hotel-Barcelona_Catalonia.html,Barcelona,668 ,,2022/01/01,2022/01/05,,Hotels.com,15,
95,Safestay Barcelona Passeig De Gracia,https://www.tripadvisor.com/Hotel_Review-g187497-d629068-Reviews-Safestay_Barcelona_Passeig_De_Gracia-Barcelona_Catalonia.html,Barcelona,1130 ,,2022/01/01,2022/01/05,,Hotels.com,13,
