,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
44,Vienna House Andel's Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d277204-Reviews-Vienna_House_Andel_s_Prague-Prague_Bohemia.html,Prague,2266 ,,2022/01/01,2022/01/05,$67,Tripadvisor,16,
45,Friday Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d1597889-Reviews-Friday_Hotel-Prague_Bohemia.html,Prague,927 ,,2022/01/01,2022/01/05,$57,Agoda.com,17,
46,Hotel Prague Inn,https://www.tripadvisor.com/Hotel_Review-g274707-d594755-Reviews-Hotel_Prague_Inn-Prague_Bohemia.html,Prague,504 ,,2022/01/01,2022/01/05,$64,Tripadvisor,16,
47,Dancing House Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d10441082-Reviews-Dancing_House_Hotel-Prague_Bohemia.html,Prague,237 ,,2022/01/01,2022/01/05,$90,Tripadvisor,11,
48,Hotel Salvator,https://www.tripadvisor.com/Hotel_Review-g274707-d276685-Reviews-Hotel_Salvator-Prague_Bohemia.html,Prague,1583 ,,2022/01/01,2022/01/05,,Orbitz.com,13,
49,Le Palais Art Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d275239-Reviews-Le_Palais_Art_Hotel_Prague-Prague_Bohemia.html,Prague,1058 ,,2022/01/01,2022/01/05,,Hotels.com,17,
50,City Nest,https://www.tripadvisor.com/Hotel_Review-g274707-d15598898-Reviews-City_Nest-Prague_Bohemia.html,Prague,162 ,,2022/01/01,2022/01/05,,Hotels.com,12,
51,Hotel Residence Spalena,https://www.tripadvisor.com/Hotel_Review-g274707-d8546305-Reviews-Hotel_Residence_Spalena-Prague_Bohemia.html,Prague,351 ,,2022/01/01,2022/01/05,,Hotels.com,12,
52,Hotel AURUS,https://www.tripadvisor.com/Hotel_Review-g274707-d581558-Reviews-Hotel_AURUS-Prague_Bohemia.html,Prague,428 ,,2022/01/01,2022/01/05,,Travelocity,12,
53,Hotel Leon D'Oro,https://www.tripadvisor.com/Hotel_Review-g274707-d1778551-Reviews-Hotel_Leon_D_Oro-Prague_Bohemia.html,Prague,1384 ,,2022/01/01,2022/01/05,,Booking.com,13,
54,Miss Sophie's Charles Bridge,https://www.tripadvisor.com/Hotel_Review-g274707-d647318-Reviews-Miss_Sophie_s_Charles_Bridge-Prague_Bohemia.html,Prague,211 ,,2022/01/01,2022/01/05,,Hotels.com,11,
55,Grand Hotel Praha,https://www.tripadvisor.com/Hotel_Review-g274707-d586154-Reviews-Grand_Hotel_Praha-Prague_Bohemia.html,Prague,1101 ,,2022/01/01,2022/01/05,,Booking.com,18,
56,Charles Bridge Palace,https://www.tripadvisor.com/Hotel_Review-g274707-d2517306-Reviews-Charles_Bridge_Palace-Prague_Bohemia.html,Prague,1108 ,,2022/01/01,2022/01/05,,Hotels.com,16,
57,Czech Inn,https://www.tripadvisor.com/Hotel_Review-g274707-d618230-Reviews-Czech_Inn-Prague_Bohemia.html,Prague,994 ,,2022/01/01,2022/01/05,,Hotels.com,13,
58,Panorama Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d276698-Reviews-Panorama_Hotel_Prague-Prague_Bohemia.html,Prague,2435 ,,2022/01/01,2022/01/05,,Hotels.com,18,
59,Hotel U Prince,https://www.tripadvisor.com/Hotel_Review-g274707-d276599-Reviews-Hotel_U_Prince-Prague_Bohemia.html,Prague,1296 ,,2022/01/01,2022/01/05,,Travelocity,17,
60,Central Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d275496-Reviews-Central_Hotel_Prague-Prague_Bohemia.html,Prague,1020 ,,2022/01/01,2022/01/05,,Orbitz.com,13,
61,Jalta Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d275250-Reviews-Jalta_Boutique_Hotel-Prague_Bohemia.html,Prague,1674 ,,2022/01/01,2022/01/05,,Hotels.com,18,
62,Safestay Prague Charles Bridge Hostel,https://www.tripadvisor.com/Hotel_Review-g274707-d4573319-Reviews-Safestay_Prague_Charles_Bridge_Hostel-Prague_Bohemia.html,Prague,655 ,,2022/01/01,2022/01/05,,Hotels.com,13,
63,Charles Bridge Hostel & Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d2202493-Reviews-Charles_Bridge_Hostel_Apartments-Prague_Bohemia.html,Prague,593 ,,2022/01/01,2022/01/05,$40,Booking.com,13,
64,Hotel Liberty,https://www.tripadvisor.com/Hotel_Review-g274707-d280832-Reviews-Hotel_Liberty-Prague_Bohemia.html,Prague,1653 ,,2022/01/01,2022/01/05,$60,Tripadvisor,15,
65,Hotel U Zlateho Stromu,https://www.tripadvisor.com/Hotel_Review-g274707-d280327-Reviews-Hotel_U_Zlateho_Stromu-Prague_Bohemia.html,Prague,668 ,,2022/01/01,2022/01/05,$47,Tripadvisor,16,
66,Hotel Three Storks,https://www.tripadvisor.com/Hotel_Review-g274707-d639634-Reviews-Hotel_Three_Storks-Prague_Bohemia.html,Prague,923 ,,2022/01/01,2022/01/05,$79,Tripadvisor,19,
67,Plaza Prague Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html,Prague,934 ,,2022/01/01,2022/01/05,$34,Tripadvisor,15,
68,Hotel Aida,https://www.tripadvisor.com/Hotel_Review-g274707-d275491-Reviews-Hotel_Aida-Prague_Bohemia.html,Prague,546 ,,2022/01/01,2022/01/05,$46,Tripadvisor,16,
