,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
77,Hotel Britannique,https://www.tripadvisor.com/Hotel_Review-g187147-d198174-Reviews-Hotel_Britannique-Paris_Ile_de_France.html,Paris,2202 ,,2022/01/01,2022/01/05,$91,Booking.com,16,
78,InterContinental Paris - Le Grand,https://www.tripadvisor.com/Hotel_Review-g187147-d207742-Reviews-InterContinental_Paris_Le_Grand-Paris_Ile_de_France.html,Paris,3456 ,,2022/01/01,2022/01/05,$391,Hotels.com,21,
79,COQ Hotel Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d269117-Reviews-COQ_Hotel_Paris-Paris_Ile_de_France.html,Paris,613 ,,2022/01/01,2022/01/05,$92,Hotels.com,17,
80,Sofitel Paris Le Faubourg,https://www.tripadvisor.com/Hotel_Review-g187147-d197531-Reviews-Sofitel_Paris_Le_Faubourg-Paris_Ile_de_France.html,Paris,1167 ,,2022/01/01,2022/01/05,$432,Booking.com,19,
81,Hilton Paris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d207718-Reviews-Hilton_Paris_Opera-Paris_Ile_de_France.html,Paris,2819 ,,2022/01/01,2022/01/05,$200,Hilton,20,
82,Hotel Chateau Frontenac,https://www.tripadvisor.com/Hotel_Review-g187147-d228854-Reviews-Hotel_Chateau_Frontenac-Paris_Ile_de_France.html,Paris,965 ,,2022/01/01,2022/01/05,$193,Hotels.com,19,
83,The ReMIX Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d229569-Reviews-The_ReMIX_Hotel-Paris_Ile_de_France.html,Paris,70 ,,2022/01/01,2022/01/05,$107,Booking.com,16,
84,Hotel Mathis,https://www.tripadvisor.com/Hotel_Review-g187147-d1440224-Reviews-Hotel_Mathis-Paris_Ile_de_France.html,Paris,247 ,,2022/01/01,2022/01/05,$179,Booking.com,13,
85,Hotel Mayfair Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d228759-Reviews-Hotel_Mayfair_Paris-Paris_Ile_de_France.html,Paris,790 ,,2022/01/01,2022/01/05,$191,Booking.com,17,
86,Hotel Albe Saint Michel,https://www.tripadvisor.com/Hotel_Review-g187147-d208082-Reviews-Hotel_Albe_Saint_Michel-Paris_Ile_de_France.html,Paris,1517 ,,2022/01/01,2022/01/05,$132,Booking.com,14,
87,Hotel Elysees Union,https://www.tripadvisor.com/Hotel_Review-g187147-d229535-Reviews-Hotel_Elysees_Union-Paris_Ile_de_France.html,Paris,1461 ,,2022/01/01,2022/01/05,$334,Booking.com,18,
88,Eden Hotel Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d319559-Reviews-Eden_Hotel_Opera-Paris_Ile_de_France.html,Paris,455 ,,2022/01/01,2022/01/05,$95,Hotels.com,16,
89,Hotel Albert 1er,https://www.tripadvisor.com/Hotel_Review-g187147-d197643-Reviews-Hotel_Albert_1er-Paris_Ile_de_France.html,Paris,302 ,,2022/01/01,2022/01/05,$97,Booking.com,16,
90,Ibis Styles Paris Massena Olympiades,https://www.tripadvisor.com/Hotel_Review-g187147-d197566-Reviews-Ibis_Styles_Paris_Massena_Olympiades-Paris_Ile_de_France.html,Paris,602 ,,2022/01/01,2022/01/05,$99,Booking.com,14,
91,Maison Malesherbes,https://www.tripadvisor.com/Hotel_Review-g187147-d197474-Reviews-Maison_Malesherbes-Paris_Ile_de_France.html,Paris,125 ,,2022/01/01,2022/01/05,$125,Booking.com,17,
92,Hotel Princesse Caroline,https://www.tripadvisor.com/Hotel_Review-g187147-d446849-Reviews-Hotel_Princesse_Caroline-Paris_Ile_de_France.html,Paris,459 ,,2022/01/01,2022/01/05,$115,Booking.com,15,
93,Castille Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d188739-Reviews-Castille_Paris-Paris_Ile_de_France.html,Paris,1219 ,,2022/01/01,2022/01/05,$346,Preferred Hotels,19,
94,Le 10 Bis Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d10296011-Reviews-Le_10_Bis_Hotel-Paris_Ile_de_France.html,Paris,700 ,,2022/01/01,2022/01/05,$126,Agoda.com,17,
95,Hotel Monte Cristo,https://www.tripadvisor.com/Hotel_Review-g187147-d13798733-Reviews-Hotel_Monte_Cristo-Paris_Ile_de_France.html,Paris,319 ,,2022/01/01,2022/01/05,,Orbitz.com,15,
